Title,Date,Start,End,Location,Description
Retirement Party for Margaret Reina,2025-03-10,16:00,18:00,Hutchinson Lobby,"Please join us as we celebrate the incredible career of Margaret “Reina” Reina and honor her 42 years of dedicated service to Tulane University. From her early days as a nurse to her leadership in compliance, revenue cycle management, and operations, Reina’s unwavering commitment to problem-solving and team well-being has left a lasting impact. Let’s come together to recognize her remarkable legacy and wish her the best in retirement!"
Special Grand Rounds ,2025-03-13,12:00,13:00,"Murphy Building 7th Floor, Rm. 700-701","Grand Rounds presenter Shin-Ichiro Takahashi, PhD, ""What Kind of Diet Should Humans Eat in the Future?"""
Physiology Seminar Series,2025-03-13,12:00,13:00,Hutchinson Auditorium,"Modulation of NCC activity by the calcium-sensing receptor and the KS-WNK1 isoform with Gerardo Gamba, MD, PhD, National University of Mexico"
"Richard Williams Sr, MD, 1931 Lecture",2025-03-14,12:00,13:00,Zoom,"“Interspecies Future” Through domestication, humans have brought animals into our societies, and in that sense, domesticated animals are members of society, although they have been relegated to a subordinate caste status. Can we imagine a more legitimate and just form of social membership for domesticated animals? Dr. Will Kymlicka, OC, FRSC Will Kymlicka is the Canada Research Chair in Political Philosophy at Queen’s University, and co-author with Sue Donaldson of Zoopolis: A Political Theory of Animal Rights”"
Grand Rounds,2025-03-17,12:00,13:00,"Murphy Building, 7th FL. Rm 700-701","Michael P. Boyle, MD presenting "" The Five Events that made Cystic Fibrosis one of the most remarkable stories in Medicine - and what lies ahead"""
COBRE in Sex-Based Precision Medicine Seminar,2025-03-20,13:00,14:00,Zoom,"“Sex Differences in Endogenous Sex Hormones and Exogenous Disruptors in Cardiometabolic Outcomes” Simin Liu, MD, ScD, Distinguished Professor and Chair of Epidemiology and Biostatistics at University of California, Irvine"
COBRE for Clinical and Translational Research in Cardiometabolic Diseases Grand Rounds,2025-03-24,12:00,13:00,Tidewater Room 1210,"Alzheimer's Disease Is Likely a Lipid- Disorder Complication as Revealed by Functional Lipidomics and Animal Models with Xianlin Han, PhD, Professor in the Department of Medicine at UT Health San Antonio"
Wear Purple Day for Epilepsy Awareness,,00:00,00:00,SoM,Join Tulane Center for Clinical Neurosciences and wear purple to help increase awareness about epilepsy!
Grand Rounds,2025-03-26,12:00,13:00,Murphy Building 7th Fl. Rm. 700-701,"Annual AOA Grand Rounds, presenter James Woodrow ""Woody"" Morgan speaking ""Cultivating Resiliency: Lessons from Disability Medical Training, and the Value of Physicians with Disabilities""."
Tulane Institute for Physician Scientists Seminar,2025-04-01,12:00,13:00,Murphy Building Rm700/701,"The Tulane Institute for Physician Scientists presents : ""From Passion to Progress: Navigating Kidney Health Disparities as an Early Career Investigator” Speaker: Flor Alvarado, MD, MHS, MPH Assistant Professor of Medicine, Section of Nephrology & Hypertension Tulane University School of Medicine"
