Source,Category,Title,Link
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Welcome Back from Coca-Cola,https://events.tulane.edu/content/welcome-back-coca-cola
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Trash to Treasure Move-In Sale 2025,https://events.tulane.edu/content/trash-treasure-move-sale-2025-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Hillel Open House,https://events.tulane.edu/content/tulane-hillel-open-house-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",New Graduate Student Orientation,https://events.tulane.edu/content/new-graduate-student-orientation
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Family Resource Station,https://events.tulane.edu/content/family-resource-station-3
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Tulane Hillel at RLC Fair,https://events.tulane.edu/content/tulane-hillel-rlc-fair-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Religious Life,https://events.tulane.edu/content/religious-life-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Family Welcome,https://events.tulane.edu/content/family-welcome-1
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Community Meeting - South Liberty Project,https://events.tulane.edu/content/community-meeting-south-liberty-project
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Roll Into Rec: HIIT Class,https://events.tulane.edu/content/roll-rec-hiit-class
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Roll Into Rec: HIIT Class,https://events.tulane.edu/content/roll-rec-hiit-class
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",1L Orientation - Oath of Professionalism,https://events.tulane.edu/content/1l-orientation-oath-professionalism
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",NTC International Student Orientation Session Fall 2025,https://events.tulane.edu/content/ntc-international-student-orientation-session-fall-2025
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Trash to Treasure Move-In Sale 2025,https://events.tulane.edu/content/trash-treasure-move-sale-2025-2
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Ride the Wave to Wellness,https://events.tulane.edu/content/ride-wave-wellness
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Physics and Engineering Physics Summer Research Colloquium,https://events.tulane.edu/content/physics-and-engineering-physics-summer-research-colloquium
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Virtual 3-Part Workshop: From Theory to Practice:  Creating Organizational Change for Health Equity,https://events.tulane.edu/content/virtual-3-part-workshop-theory-practice-creating-organizational-change-health-equity-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",OISS Campus Tour,https://events.tulane.edu/content/oiss-campus-tour
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Connect Fest,https://events.tulane.edu/content/connect-fest
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",OISS F-1 Undergrad Orientation,https://events.tulane.edu/content/oiss-f-1-undergrad-orientation
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Success Workshops,https://events.tulane.edu/content/success-workshops-0
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Campus Cup,https://events.tulane.edu/content/campus-cup
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Roll Into Rec: Morning Run,https://events.tulane.edu/content/roll-rec-morning-run
https://events.tulane.edu/,"University-wide (Academic, Cultural, Wellness, etc.)",Freeman Abroad Incoming Exchange Student Orientation,https://events.tulane.edu/content/freeman-abroad-incoming-exchange-student-orientation
